"maritalstatusid","maritalstatusdescen","maritalstatusdescar"
"2","MARRIED","متزوج"
"3","DIVORCED","مطلق"
"4","WIDOW","أرمل"
"6","UNSPECIFIC","غير محدده"
"7","CHILD","طفل"
"5","DECEASED","متوفي"
"1","SINGLE","اعزب"
